# generated on 2025-09-02 19:11:39.042695736 UTC with Config {startDate = 2021-08-01 00:00:00 UTC, endDate = 2025-08-01 00:00:00 UTC}
githubId,githubUsername,commits,merges
1111056,dhoppe,2,0
111183546,GenericNerdyUsername,51,0
111205756,wenzel-hoffman,1,0
111294766,Alae-Tamouh,1,0
111304,mstarzyk,11,0
11132880,mslxl,1,0
11135,bdd,68,0
11135311,simonchatts,5,0
11145016,con-f-use,11,0
111490454,VsQ90,1,0
11150054,cablespaghetti,2,0
11150076,SirYwell,3,0
111533439,willifan,1,0
111539270,commiterate,19,0
11155300,lafrenierejm,9,0
111570799,miampf,6,0
1115946,radhus,2,0
11174371,tirimia,4,0
1117749,JamesGuthrie,1,0
111783407,t-spr,4,0
111855239,janalemke,1,0
111859550,MortenSlingsby,3,0
1118676,WooDyDooKs,1,0
1118815,arkivm,47,0
1118859,chkno,41,0
11191291,geekbrother,1,0
11192354,arcayr,12,0
11199213,f2k1de,54,0
112053367,yunz-dev,2,0
11205987,dsalaza4,1,0
112060595,Sereja313,2,1
112069,luizribeiro,13,0
112074172,m04f,6,0
112101992,kekrby,1,0
11212268,gruve-p,15,0
11222441,zevisert,3,0
11225574,dezren39,6,0
112294217,meppu,30,0
11229748,linyinfeng,45,0
11236933,HexF,1,0
11243138,Thunderbottom,1,0
11246353,matthieucx,3,0
112490,samdoshi,2,0
1125030,skvadrik,2,0
112517426,dav-dap,1,0
112557036,diamond-deluxe,3,0
112626461,VinayakKaushikDH,1,0
112647941,maya-doshi,3,0
11265,ony,6,0
11269403,anstylian,2,0
112729,brianmay,3,0
11277129,erebfaer,1,0
11277967,sarahec,435,0
1128594,cyrillzadra,1,0
112864332,yomaq,5,0
11292703,mrdev023,16,0
1129322,pinotree,6,0
1130337,futile,2,0
113091614,Ben-Miller0,1,0
11310385,bnlrnz,5,0
1131102,Informatic,2,0
1131159,brenix,10,0
113123021,Ashvith10,3,0
11312895,b12f,2,0
1131529,javaes,20,0
1131571,naelstrof,2,0
113244000,zi3m5f,28,0
113319266,xdettlaff,1,0
1133568,hanleym,6,0
11337857,pkel,1,0
11340915,frostevent,1,0
113464111,WoutSwinkels,2,0
11351304,rardiol,5,0
